acq_date,count,week_of_the_year,year
2020-03-29,62,13,2020
2020-04-05,52,14,2020
2020-04-12,146,15,2020
2020-04-19,112,16,2020
2020-04-26,59,17,2020
2020-05-03,25,18,2020
2020-05-10,19,19,2020
2020-05-17,21,20,2020
2020-05-24,4,21,2020
2020-05-31,5,22,2020
2020-06-07,0,23,2020
2020-06-14,0,24,2020
2020-06-21,0,25,2020
2020-06-28,0,26,2020
2020-07-05,0,27,2020
2020-07-12,0,28,2020
2020-07-19,0,29,2020
2020-07-26,2,30,2020
