acq_date,count,week_of_the_year,year
2005-07-24,0,29,2005
2005-07-31,0,30,2005
2005-08-07,4,31,2005
2005-08-14,0,32,2005
2005-08-21,0,33,2005
2005-08-28,0,34,2005
2005-09-04,0,35,2005
2005-09-11,0,36,2005
2005-09-18,0,37,2005
2005-09-25,0,38,2005
2005-10-02,0,39,2005
2005-10-09,0,40,2005
2005-10-16,0,41,2005
2005-10-23,0,42,2005
2005-10-30,0,43,2005
2005-11-06,0,44,2005
2005-11-13,0,45,2005
2005-11-20,0,46,2005
2005-11-27,0,47,2005
2005-12-04,0,48,2005
2005-12-11,0,49,2005
2005-12-18,0,50,2005
2005-12-25,0,51,2005
2006-01-01,0,52,2006
2006-01-08,0,1,2006
2006-01-15,0,2,2006
2006-01-22,0,3,2006
2006-01-29,0,4,2006
2006-02-05,1,5,2006
2006-02-12,0,6,2006
2006-02-19,0,7,2006
2006-02-26,0,8,2006
2006-03-05,1,9,2006
2006-03-12,1,10,2006
2006-03-19,5,11,2006
2006-03-26,18,12,2006
2006-04-02,12,13,2006
2006-04-09,42,14,2006
2006-04-16,81,15,2006
2006-04-23,223,16,2006
2006-04-30,136,17,2006
2006-05-07,107,18,2006
2006-05-14,175,19,2006
2006-05-21,13,20,2006
2006-05-28,0,21,2006
2006-06-04,4,22,2006
2006-06-11,6,23,2006
2006-06-18,0,24,2006
2006-06-25,0,25,2006
2006-07-02,0,26,2006
2006-07-09,0,27,2006
2006-07-16,0,28,2006
2006-07-23,0,29,2006
2006-07-30,0,30,2006
2006-08-06,0,31,2006
2006-08-13,0,32,2006
2006-08-20,1,33,2006
2006-08-27,0,34,2006
2006-09-03,0,35,2006
2006-09-10,0,36,2006
2006-09-17,0,37,2006
2006-09-24,0,38,2006
2006-10-01,0,39,2006
2006-10-08,0,40,2006
2006-10-15,0,41,2006
2006-10-22,0,42,2006
2006-10-29,0,43,2006
2006-11-05,0,44,2006
2006-11-12,0,45,2006
2006-11-19,0,46,2006
2006-11-26,0,47,2006
2006-12-03,0,48,2006
2006-12-10,0,49,2006
2006-12-17,0,50,2006
2006-12-24,0,51,2006
2006-12-31,0,52,2006
2007-01-07,0,1,2007
2007-01-14,0,2,2007
2007-01-21,0,3,2007
2007-01-28,0,4,2007
2007-02-04,0,5,2007
2007-02-11,0,6,2007
2007-02-18,0,7,2007
2007-02-25,0,8,2007
2007-03-04,0,9,2007
2007-03-11,0,10,2007
2007-03-18,2,11,2007
2007-03-25,5,12,2007
2007-04-01,12,13,2007
2007-04-08,3,14,2007
2007-04-15,16,15,2007
2007-04-22,63,16,2007
2007-04-29,93,17,2007
2007-05-06,113,18,2007
2007-05-13,40,19,2007
2007-05-20,27,20,2007
2007-05-27,29,21,2007
2007-06-03,1,22,2007
2007-06-10,1,23,2007
2007-06-17,0,24,2007
2007-06-24,0,25,2007
2007-07-01,0,26,2007
2007-07-08,4,27,2007
2007-07-15,0,28,2007
2007-07-22,13,29,2007
2007-07-29,0,30,2007
2007-08-05,0,31,2007
2007-08-12,0,32,2007
2007-08-19,0,33,2007
2007-08-26,0,34,2007
2007-09-02,0,35,2007
2007-09-09,0,36,2007
2007-09-16,0,37,2007
2007-09-23,0,38,2007
2007-09-30,0,39,2007
2007-10-07,0,40,2007
2007-10-14,0,41,2007
2007-10-21,0,42,2007
2007-10-28,0,43,2007
2007-11-04,0,44,2007
2007-11-11,0,45,2007
2007-11-18,0,46,2007
2007-11-25,0,47,2007
2007-12-02,0,48,2007
2007-12-09,0,49,2007
2007-12-16,0,50,2007
2007-12-23,0,51,2007
2007-12-30,0,52,2007
2008-01-06,0,1,2008
2008-01-13,2,2,2008
2008-01-20,0,3,2008
2008-01-27,0,4,2008
2008-02-03,0,5,2008
2008-02-10,0,6,2008
2008-02-17,0,7,2008
2008-02-24,2,8,2008
2008-03-02,0,9,2008
2008-03-09,0,10,2008
2008-03-16,3,11,2008
2008-03-23,6,12,2008
2008-03-30,1,13,2008
2008-04-06,13,14,2008
2008-04-13,49,15,2008
2008-04-20,23,16,2008
2008-04-27,153,17,2008
2008-05-04,66,18,2008
2008-05-11,85,19,2008
2008-05-18,122,20,2008
2008-05-25,28,21,2008
2008-06-01,15,22,2008
2008-06-08,4,23,2008
2008-06-15,0,24,2008
2008-06-22,0,25,2008
2008-06-29,0,26,2008
2008-07-06,0,27,2008
2008-07-13,0,28,2008
2008-07-20,0,29,2008
2008-07-27,0,30,2008
2008-08-03,0,31,2008
2008-08-10,0,32,2008
2008-08-17,2,33,2008
2008-08-24,0,34,2008
2008-08-31,0,35,2008
2008-09-07,0,36,2008
2008-09-14,0,37,2008
2008-09-21,0,38,2008
2008-09-28,0,39,2008
2008-10-05,0,40,2008
2008-10-12,0,41,2008
2008-10-19,0,42,2008
2008-10-26,0,43,2008
2008-11-02,0,44,2008
2008-11-09,0,45,2008
2008-11-16,0,46,2008
2008-11-23,0,47,2008
2008-11-30,0,48,2008
2008-12-07,0,49,2008
2008-12-14,0,50,2008
2008-12-21,0,51,2008
2008-12-28,0,52,2008
2009-01-04,0,1,2009
2009-01-11,1,2,2009
2009-01-18,0,3,2009
2009-01-25,1,4,2009
2009-02-01,1,5,2009
2009-02-08,1,6,2009
2009-02-15,1,7,2009
